place,fixed
"Auburn, Wa.","Auburn, Washinton, USA"
B.C.,"British Columbia, Canada"
"Beaverton, Washington County, Oregon","Beaverton, Washington County, Oregon"
"Carmichael, Calif.","Carmichael, Sacramento, California, USA"
"Catholic Church, Coronach, Saskatchewan, Can.,","Catholic Church, Coronach, Saskatchewan, Canada"
"Catholic Church, Coronach, Saskatchewan, Canada","Catholic Church, Coronach, Saskatchewan, Canada"
"Catholic Church, Timmons, Ontario, Canada","Catholic Church, Timmons, Ontario, Canada"
"Cernja, Austria-Hungary","Cernja, Austria-Hungary"
"Coronach, Saskatchewan, Canada","Coronach, Saskatchewan, Canada"
"Coronach, Saskatchewan, Canada,","Coronach, Saskatchewan, Canada"
"Edmonton, Alberta, Canada","Edmonton, Alberta, Canada"
"Edson, Alberta, Canada","Edson, Alberta, Canada"
"Erickson, Manitoba. Canada","Erickson, Manitoba, Canada"
"Fair Oaks, Calif.","Fair Oaks, California, USA"
"Firebaugh, Calif.","Firebaugh, Fresno, California, USA"
"Fort Lee, N.J.","Fort Lee, New Jersey, USA"
"Francis, Sask. Can.","Francis, Saskatchewan, Canada"
"Ft. Ritchie, MD","Ft. Ritchie, Maryland, USA"
"Garden Grove, Calif. USA","Garden Grove, Orange, California, USA"
"Hollywood, CA","Hollywood, Los Angeles, California, USA"
Hungary,Hungary
"Karlsdorf, Yugoslavia , Europe","Karlsdorf, Yugoslavia , Europe"
"Lac La Biche, Alberta, Canada","Lac La Biche, Alberta, Canada"
"Laguna Hills, Calif.","Laguna Hills, Orange, California, USA"
"Lahr, Germany","Lahr, Germany"
"Lodi, Calif.","Lodi, San Joaquin, California, USA"
"Los Angeles, Calif.","Los Angeles, Los Angeles, California, USA"
"Maple Ridge, (Vancouver), B.C. Canada","Maple Ridge, Vancouver, British Columbia, Canada"
"Maple Ridge, B. C. Canada","Maple Ridge, Vancouver, British Columbia, Canada"
"Marmora, Ontario, Canada","Marmora, Ontario, Canada"
"Matheson, Ontario, Canada.","Matheson, Ontario, Canada"
"McTaggaret, Sask. Canada","McTaggart, Saskatchewan, Canada"
"McTaggart, Sask, Can.","McTaggart, Saskatchewan, Canada"
"McTaggart, Sask. Can.","McTaggart, Saskatchewan, Canada"
"McTaggart, Saskatchewan, Canada","McTaggart, Saskatchewan, Canada"
"Moose Jaw, Sask.","Moose Jaw, Saskatchewan, Canada"
"Moosomin, Sask. Canada","Moosomin, Saskatchewan, Canada"
"Newark, N.J.","Newark, Essex, New Jersey, USA"
NJ,"New Jersey, USA"
"Oakland, Calif.","Oakland, Alameda, Californa, USA"
"Ottawa, Ontario","Ottawa, Ontario, Canada"
"Paradise, California","Paradise, Butte, California, USA"
"Pasadena, Los Angeles, Californiai, USA","Pasadena, Los Angeles, California, USA"
"Pleasant Grove, Calif.","Pleasant Grove, Sutter, California, USA"
"Portland, Multnomah, Oregon, USA","Portland, Multnomah, Oregon, USA"
"Portland, Oregon","Portland, Multnomah, Oregon, USA"
"Radville, Sask.","Radville, Saskatchewan, Canada"
"Radville, Saskatchewan, Canada","Radville, Saskatchewan, Canada"
"RANSOMVILLE, N,.Y.","Ransomville, Niagra, New York, USA"
"RANSOMVILLE, N.Y.","Ransomville, Niagra, New York, USA"
"Regina, Sask.","Regina, Saskatchewan, Canada"
"Reno, Nevada","Reno, Washoe, Nevada, USA"
"Robbins, Calif.","Robbins, Sutter, California, USA"
Sacramento Ca,"Sacramento, Sacramento, California, USA"
"Sacramento Ca. (Buried-Pleasanton, Ca.)","Sacramento, Sacramento, California, USA"
"Sacramento, Calif","Sacramento, Sacramento, California, USA"
"Sacramento, Calif.","Sacramento, Sacramento, California, USA"
"Sacramento, California","Sacramento, Sacramento, California, USA"
"Salem, Oregon","Salem, Marion, Oregon, USA"
"Salem,Oregon","Salem, Marion, Oregon, USA"
"San Francisco, Calif.","San Francisco, San Franciso, California, USA"
"San Gabriel Mission, San Gabriel, Calif.","San Gabriel Mission, San Gabriel, Calif."
"Saskatoon, Canada","Saskatoon, Saskatchewan, Canada"
"Sierra Madre, Los Angeles, Californiai, USA","Sierra Madre, Los Angeles, Californiai, USA"
